Hospital_name,Hospital_Url,Hospital_rating,Hospital_reviews,Hospital_Address,Contact_no
Aadil Hospital,https://www.google.com/maps/place/Aadil+Hospital/data=!4m7!3m6!1s0x391905dd3b984f15:0xd82daff4168b5588!8m2!3d31.4887715!4d74.3804778!16s%2Fg%2F1tk1lcr6!19sChIJFU-YO90FGTkRiFWLFvSvLdg?authuser=0&hl=en&rclk=1,3.3,237,General hospital · D.H.A. Main Blvd، near rasheed hospital,+92 42 111 223 454
"National Hospital & Medical Centre, Lahore","https://www.google.com/maps/place/National+Hospital+%26+Medical+Centre,+Lahore/data=!4m7!3m6!1s0x391905fc5bd2ed4d:0x93c50f1fdc0c88af!8m2!3d31.4846247!4d74.3973523!16s%2Fg%2F1tpc6b_z!19sChIJTe3SW_wFGTkRr4gM3B8PxZM?authuser=0&hl=en&rclk=1",3.3,649,General hospital,+92 42 111 171 819
Hameed Latif Hospital,https://www.google.com/maps/place/Hameed+Latif+Hospital/data=!4m7!3m6!1s0x3919046395d107bb:0xc493f25294b18dd7!8m2!3d31.5119143!4d74.3283349!16s%2Fg%2F11b7q29nls!19sChIJuwfRlWMEGTkR142xlFLyk8Q?authuser=0&hl=en&rclk=1,3.6,"1,034",General hospital · 14 New Lahore – Kasur Rd,+92 42 111 000 043
Services Hospital Lahore,https://www.google.com/maps/place/Services+Hospital+Lahore/data=!4m7!3m6!1s0x391904bfde85be07:0x8ebed25bbd0cf8c0!8m2!3d31.5409853!4d74.3323679!16s%2Fm%2F02ptgmb!19sChIJB76F3r8EGTkRwPgMvVvSvo4?authuser=0&hl=en&rclk=1,4.0,600,General hospital · Services hospital,
Ayesha Hospital,https://www.google.com/maps/place/Ayesha+Hospital/data=!4m7!3m6!1s0x391905ee3a2d89ff:0x456d8ec57ab07858!8m2!3d31.4949671!4d74.3928825!16s%2Fg%2F11_780rkz!19sChIJ_4ktOu4FGTkRWHiwesWObUU?authuser=0&hl=en&rclk=1,3.7,67,General hospital · Ayesha hospital nishat colony,+92 42 35745411
Shalamar Hospital,https://www.google.com/maps/place/Shalamar+Hospital/data=!4m7!3m6!1s0x39191ac9af9d7edf:0xa625f11332d699cb!8m2!3d31.5752544!4d74.379832!16s%2Fm%2F03mhv9q!19sChIJ336dr8kaGTkRy5nWMhPxJaY?authuser=0&hl=en&rclk=1,3.7,641,General hospital · Shalimar Link Road,+92 42 111 205 205
Health Bridge Hospital,https://www.google.com/maps/place/Health+Bridge+Hospital/data=!4m7!3m6!1s0x39190ffadd59888b:0xb7e455a6a6dda05f!8m2!3d31.4860872!4d74.409965!16s%2Fg%2F11mvnmth6w!19sChIJi4hZ3foPGTkRX6DdpqZV5Lc?authuser=0&hl=en&rclk=1,3.6,56,"Hospital · E-194 Ghazi Rd, near q block market",+92 42 35740341
Lahore General Hospital,https://www.google.com/maps/place/Lahore+General+Hospital/data=!4m7!3m6!1s0x3919068c599a5251:0x30feecc3009a84d9!8m2!3d31.4545396!4d74.3510002!16zL20vMGMwdl9y!19sChIJUVKaWYwGGTkR2YSaAMPs_jA?authuser=0&hl=en&rclk=1,4.0,584,Government hospital · Ferozpur Road، near Chungi,+92 42 99268801
Fatima Memorial Hospital,https://www.google.com/maps/place/Fatima+Memorial+Hospital/data=!4m7!3m6!1s0x39190496f694662b:0xcc2520c99caa0768!8m2!3d31.5357849!4d74.3280127!16s%2Fm%2F0kv9h56!19sChIJK2aU9pYEGTkRaAeqnMkgJcw?authuser=0&hl=en&rclk=1,3.6,553,General hospital · Shadman Rd,+92 42 111 555 600
Shaikh Zayed Hospital,https://www.google.com/maps/place/Shaikh+Zayed+Hospital/data=!4m7!3m6!1s0x39190386cdfa90e3:0xb56936e828d205ad!8m2!3d31.5081718!4d74.3085857!16s%2Fm%2F0r3stxr!19sChIJ45D6zYYDGTkRrQXSKOg2abU?authuser=0&hl=en&rclk=1,3.9,574,General hospital · G855+7C8 Shaikh Zayed Medical Complex، University Avenue,+92 42 35865731
